total_timesteps,explained_variance,fps,nupdates,policy_entropy,value_loss,ep_reward_mean,ep_len_mean
1528000,0.8831123933196068,1115,19100,1.7805589437484741,0.03055008314549923,-20.17,938.56
1536000,0.9317997917532921,1115,19200,1.7832332849502563,0.013882952742278576,-20.18,937.87
1544000,0.7897288948297501,1116,19300,1.7860606908798218,0.02232157625257969,-20.22,937.87
1552000,0.9276770278811455,1116,19400,1.7821986675262451,0.015273688361048698,-20.19,937.72
1560000,0.9625075906515121,1117,19500,1.7834978103637695,0.008736181072890759,-20.18,937.25
1568000,0.8996550738811493,1117,19600,1.7789201736450195,0.016914300620555878,-20.2,936.9
1576000,0.981683999300003,1118,19700,1.7787656784057617,0.004871456418186426,-20.27,935.97
1584000,0.8069672286510468,1118,19800,1.7826591730117798,0.05138333886861801,-20.26,938.06
1592000,0.956152930855751,1119,19900,1.7860329151153564,0.007835457101464272,-20.3,938.46
1600000,0.9288260564208031,1119,20000,1.7854760885238647,0.02927427552640438,-20.25,939.93
1608000,0.9450831674039364,1120,20100,1.769679069519043,0.017969965934753418,-20.23,939.24
1616000,0.901946522295475,1120,20200,1.7691398859024048,0.02447129227221012,-20.27,934.71
1624000,0.8696340024471283,1121,20300,1.7817859649658203,0.014518258161842823,-20.33,928.23
1632000,0.9849544186145067,1121,20400,1.783790946006775,0.004556804895401001,-20.33,931.11
1640000,0.9383355751633644,1121,20500,1.7827842235565186,0.02208789810538292,-20.34,926.35
1648000,0.9175954908132553,1122,20600,1.7823375463485718,0.023236814886331558,-20.34,924.28
1656000,0.9287790730595589,1122,20700,1.7796052694320679,0.014192414470016956,-20.31,924.96
1664000,0.9606470987200737,1122,20800,1.7847200632095337,0.01871209219098091,-20.31,922.89
1672000,0.9093341678380966,1123,20900,1.782923698425293,0.010548870079219341,-20.3,920.69
1680000,0.9546576291322708,1123,21000,1.786924958229065,0.010545378550887108,-20.29,923.39
1688000,0.6658130884170532,1124,21100,1.7817699909210205,0.06061695143580437,-20.26,926.19
1696000,0.9001567363739014,1124,21200,1.7864782810211182,0.010693559423089027,-20.29,929.9
1704000,0.8724225759506226,1124,21300,1.7809909582138062,0.018988996744155884,-20.21,939.46
1712000,0.9341445341706276,1125,21400,1.784083604812622,0.034835971891880035,-20.16,945.32
1720000,0.9352902770042419,1125,21500,1.7841253280639648,0.01644999161362648,-20.09,953.18
1728000,0.9665263071656227,1126,21600,1.7840818166732788,0.009911780245602131,-20.05,955.85
1736000,0.8982444405555725,1126,21700,1.7861992120742798,0.019869094714522362,-19.98,966.91
1744000,0.9138835072517395,1126,21800,1.770777702331543,0.012472869828343391,-20.04,965.51
1752000,0.887318953871727,1115,21900,1.7661716938018799,0.020203910768032074,-20.05,966.41
1760000,0.8320748955011368,1116,22000,1.7827627658843994,0.028258780017495155,-20.04,968.82
