total_timesteps,fps,policy_entropy,approxkl,clipfrac,value_loss,explained_variance,time_elapsed,serial_timesteps,policy_loss,n_updates,ep_len_mean,ep_reward_mean
4725760,999,1.3949205,1.1096907e-05,0.18579102,0.00064666953,0.9875156590715051,5047.138535022736,590720,-0.00057131506,4615,1663.65,20.91
4726784,882,1.3542509,1.0407858e-05,0.15307617,0.0006483602,0.9840487465262413,5048.166021347046,590848,-0.000581409,4616,1663.65,20.91
4727808,844,1.400603,1.0154549e-05,0.19165039,0.00045147896,0.9910235339775681,5049.329255819321,590976,-0.00066622463,4617,1664.9,20.9
4728832,1018,1.3867285,1.2775516e-05,0.20239258,0.0004699145,0.9893124978989363,5050.5433847904205,591104,-0.0006630726,4618,1664.9,20.9
4729856,1097,1.3965551,1.2710048e-05,0.2019043,0.000696479,0.9832130838185549,5051.550265073776,591232,-0.0006936519,4619,1664.9,20.9
4730880,1084,1.38638,8.617044e-06,0.16552734,0.000547199,0.9894293257966638,5052.484495401382,591360,-0.0007015451,4620,1664.93,20.9
4731904,993,1.3730432,9.962524e-06,0.16821289,0.00052281906,0.9875554852187634,5053.430522918701,591488,-0.0005250608,4621,1664.93,20.9
4732928,864,1.3829439,1.0545753e-05,0.16723633,0.00074182876,0.9839539546519518,5054.463326215744,591616,-0.00055281474,4622,1665.2,20.89
4733952,920,1.3647842,1.0440125e-05,0.18139648,0.0004908592,0.9886725209653378,5055.650007724762,591744,-0.0004855208,4623,1665.2,20.89
4734976,978,1.3788987,1.3068483e-05,0.20751953,0.0008585173,0.9844997087493539,5056.763539075851,591872,-0.0005782193,4624,1665.2,20.89
4736000,979,1.3205439,1.1544706e-05,0.16015625,0.00069615775,0.9834805261343718,5057.811981201172,592000,-0.00057845144,4625,1664.68,20.9
4737024,998,1.3961083,1.2600268e-05,0.21069336,0.00095800374,0.9831251446157694,5058.858821153641,592128,-0.00059126184,4626,1664.69,20.9
4738048,1065,1.3122637,9.497146e-06,0.16845703,0.0005434538,0.9867869149893522,5059.885966539383,592256,-0.0005882111,4627,1664.71,20.9
4739072,1105,1.3953785,1.4373458e-05,0.25073242,0.0005957904,0.9884641589596868,5060.849905014038,592384,-0.0007479768,4628,1664.77,20.9
4740096,1097,1.3571298,1.2711194e-05,0.22949219,0.00068816124,0.9837303292006254,5061.778937101364,592512,-0.00054777914,4629,1664.77,20.9
4741120,1014,1.3691068,1.6712536e-05,0.29956055,0.00040677105,0.9916374906897545,5062.713562965393,592640,-0.00044913153,4630,1664.8,20.9
4742144,1036,1.3822565,1.4461726e-05,0.25708008,0.00039940604,0.9907255508005619,5063.725507974625,592768,-0.00029802744,4631,1664.8,20.9
4743168,1050,1.3771864,8.50137e-06,0.15698242,0.00052910676,0.9874999215826392,5064.714805364609,592896,-0.0006657779,4632,1664.8,20.9
4744192,990,1.3934206,1.1906164e-05,0.23657227,0.0006449561,0.9865126824006438,5065.691436290741,593024,-0.00048297888,4633,1664.82,20.9
4745216,1055,1.3748502,8.649258e-06,0.17089844,0.00046279663,0.9892807910218835,5066.7280786037445,593152,-0.000589761,4634,1664.82,20.9
4746240,1010,1.3822021,1.1310254e-05,0.1875,0.00056916487,0.9876424297690392,5067.699990510941,593280,-0.00074184994,4635,1664.81,20.9
4747264,1093,1.3898381,5.990543e-06,0.111328125,0.00054510223,0.9880627458915114,5068.71483874321,593408,-0.00043237736,4636,1664.81,20.9
