fps,serial_timesteps,explained_variance,value_loss,approxkl,policy_loss,policy_entropy,time_elapsed,clipfrac,total_timesteps,n_updates,ep_len_mean,ep_reward_mean
953,125056,0.5095761716365814,0.031314287,0.0024190103,-0.006369213,1.2609484,1151.333545923233,0.19116211,1000448,977,2478.39,-8.92
1010,125184,0.6175667941570282,0.02883711,0.0013593229,-0.0072581703,1.2456667,1152.4084520339966,0.11767578,1001472,978,2478.39,-8.92
1035,125312,0.3198177218437195,0.04294082,0.0015013583,-0.005057027,1.2560619,1153.4228467941284,0.12475586,1002496,979,2478.39,-8.92
1067,125440,0.5246066451072693,0.03500826,0.0019564382,-0.00351254,1.2584717,1154.4139323234558,0.1694336,1003520,980,2478.39,-8.92
1061,125568,0.5425955951213837,0.026656268,0.0018941985,-0.0064110043,1.2865393,1196.9157371520996,0.15209961,1004544,981,2478.39,-8.92
1069,125696,0.6117406487464905,0.037652906,0.0016426104,-0.004078652,1.1936384,1197.8833916187286,0.12573242,1005568,982,2478.39,-8.92
900,125824,0.6381162106990814,0.025011944,0.0016316337,-0.005280177,1.2822193,1198.8435797691345,0.12817383,1006592,983,2475.74,-9.01
905,125952,0.7361461818218231,0.022109935,0.0015433147,-0.0050147073,1.2223413,1199.9819886684418,0.13085938,1007616,984,2475.74,-9.01
862,126080,0.5206613540649414,0.037948515,0.0024532052,-0.0045499746,1.2550802,1201.1144886016846,0.19506836,1008640,985,2463.36,-9.1
917,126208,0.6177735924720764,0.024063703,0.0013695759,-0.0061441334,1.2680595,1202.3034362792969,0.099365234,1009664,986,2475.98,-8.95
962,126336,0.41489356756210327,0.04695868,0.0026954042,-0.0040674214,1.2517816,1203.42182803154,0.21191406,1010688,987,2475.98,-8.95
937,126464,0.6770709753036499,0.026972186,0.001819613,-0.0038214587,1.2458823,1204.4876987934113,0.14086914,1011712,988,2475.98,-8.95
917,126592,0.5896385014057159,0.033530787,0.0017866202,-0.006499801,1.2343814,1205.5813705921173,0.14575195,1012736,989,2475.98,-8.95
907,126720,0.6268042623996735,0.024954714,0.0015161824,-0.0037843643,1.2366432,1206.6988501548767,0.13305664,1013760,990,2490.21,-8.83
937,126848,0.5431521534919739,0.050329715,0.0019820738,-0.0045678024,1.1274176,1207.8283212184906,0.15649414,1014784,991,2497.24,-8.79
965,126976,0.6788190007209778,0.029213933,0.0020536259,-0.006663636,1.1787685,1208.9217574596405,0.16430664,1015808,992,2497.24,-8.79
989,127104,0.48993802070617676,0.035445906,0.001744615,-0.0071252184,1.1419829,1209.9840111732483,0.13623047,1016832,993,2497.24,-8.79
1027,127232,0.6069963574409485,0.03607694,0.002834234,-0.005742392,1.1659472,1211.0209395885468,0.20361328,1017856,994,2497.24,-8.79
954,127360,0.646785169839859,0.031553887,0.0026219506,-0.0037158574,1.1515285,1212.019749879837,0.21679688,1018880,995,2504.47,-8.79
883,127488,0.6685529947280884,0.03403624,0.0023723948,-0.0043115695,1.098512,1213.095945596695,0.19384766,1019904,996,2504.47,-8.79
872,127616,0.6841472387313843,0.026670983,0.0025590684,-0.0067788297,1.1602004,1214.2562294006348,0.20019531,1020928,997,2512.92,-8.7
981,127744,0.6451382040977478,0.029883344,0.0018100092,-0.0053349864,1.141,1215.433671951294,0.13867188,1021952,998,2512.92,-8.7
970,127872,0.511859118938446,0.02943803,0.0014912188,-0.005994205,1.1191998,1216.47975564003,0.114746094,1022976,999,2512.92,-8.7
1058,128000,0.6571710109710693,0.028848136,0.001519876,-0.0048559774,1.09428,1217.535899400711,0.1184082,1024000,1000,2512.92,-8.7
985,128128,0.6636148393154144,0.031691093,0.0018294516,-0.0059744692,1.095161,1218.5056855678558,0.14428711,1025024,1001,2512.92,-8.7
935,128256,0.674138069152832,0.024977837,0.0013908561,-0.0054777404,1.1282061,1219.5462849140167,0.111083984,1026048,1002,2512.92,-8.7
